MONDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Venues/time,09:00 - 09:45,09:45 - 10:30,10:30 - 11:15,11:15 - 12:00,12:00 - 12:45,12:45 - 01:30,01:30 - 02:15,02:15 - 03:00,03:00 - 03:45
CLASSROOMS,,,,,,,,,
E-1 Academic Block I (50),,"CS4048-Data Sci. BCS-6B  (F,G,H,J)
Dr. Rabia Tabassum","CS4048-Data Sci. BCS-6A (A - E)
Dr. Rabia Tabassum","CS4048-Data Sci. BCS-6A (A - E)
Dr. Rabia Tabassum",,,"AI3003-ANN BAI-6A
Saif ur Rehman","CS3009-SE BCS-6G
Sobia Iftikhar",
E-2 Academic Block I (50),,"CS4045-DLP BCS-6B
Dr. Jawwad Shamsi","CS4044-FSPM BCS-6A (A,B,C,D,E)
Ubaid Aftab","CS4044-FSPM BCS-6A (A,B,C,D,E)
Ubaid Aftab",,"CS3001-CN BAI-6A
Shoaib Raza","CS3014-AHCI BCS-6B
Kashan Hussain","AI2002-AI BCS-6B
Usama Antuley",
E-3 Academic Block I (50),,,"CS4051-IR BCS-6A
Dr. Muhammad Rafi","CS4051-IR BCS-6A
Dr. Muhammad Rafi",,"CS4031-CC BCS-6B
 Zulfiqar Rafique","CS3009-SE BCS-6C
Hajra Ahmed","CS3014-AHCI BCS-6C
Shaheer Ahmed Khan",
E-4 Academic Block I (50),"CS3009-SE BCS-6D
Shaheer Ahmed","SE3003-WE BSE-6B
Ali Fatmi","CS2008-NC BCS-6A
Jamil Usmani","CS2008-NC BCS-6A
Jamil Usmani","CS3014-AHCI BCS-6D
Kashan Hussain","AI2002-AI BCS-6A
Dr. Fahad Sherwani","AI2002-AI BCS-6D
Dr. Fahad Sherwani","CS4031-CC BCS-6D
 Muhammad Kashif",
E-5 Academic Block I (50),,"CY4046-EHTT BCY-6B
Abuzar Zafar","CS4032-WP BCS-6A
Ali Fatmi","CS4032-WP BCS-6A
Ali Fatmi","AI2002-AI BCS-6H
Dr. Fahad Sherwani","CS3014-AHCI BCS-6E
Ghulam Murtaza","CS3014-AHCI BCS-6E
Ghulam Murtaza",,"CS3006-PDC BAI-6A
Farooq Zaidi"
E-6 Academic Block I (50),"CS2012-TBW BCS-6F
Mariam Aftab","CS4068-NPS BCS-6B
Shoaib Raza","SE4032-BPE BSE-6A
Rubab Manzar","SE4032-BPE BSE-6A
Rubab Manzar","AI2002-AI BCS-6F
Usama Antuley","CS4044-FSPM BCS-6B (F,G,H,J)
Ubaid Aftab","CS3001-CN BCY-4A
Shoaib Raza ","CS4031-CC BCS-6A
 Shahar Bano","SE4002-FSPM BSE-6A
Minhal Raza"
R-11 Academic Block I (50),"SS1002-IST BSE-6A
Dr. Hassan Saeed","CS4045-DLP BAI-6A
Dr. Kamran Ali","CY4045-BLKC BCY-6A
Nouman Rajput","CY4045-BLKC BCY-6A
Nouman Rajput",,"SE4002-FSPM BSE-6A
Minhal Raza","CS2012-TBW BCS-6J
Mariam Aftab","CS3009-SE BCS-6J
Hajra Ahmed","AI2002-AI BCS-6J
Usama Antuley"
R-12 Academic Block I (70),,,"CY3004-FMA BCY-6A
Abuzar Zafar","CY3004-FMA BCY-6A
Abuzar Zafar","EE3009-CA BCS-6A
Dr. Zulfiqar Ali Memon","CS2005-DBS BSE-4B
Dr. Anam Qureshi","CS3009-SE BCS-6A
Sobia Iftikhar","CS2005-DBS BSE-4A
Dr. Anam Qureshi",
R-109 Academic Block I (50),,,, ,,,,,
